actor,movie
Carrie Fisher,Star Wars: The Force Awakens
Carrie Fisher,Robot Chicken: Star Wars Episode III
Cloris Leachman,The Croods
Julie Andrews,Despicable Me
Julie Andrews,Shrek Forever After
Julie Andrews,Tooth Fairy
Mark Hamill,Star Wars: The Force Awakens
Mark Hamill,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!
Mark Hamill,Regular Show: The Movie
Mark Hamill,Dante's Inferno: An Animated Epic
Mark Hamill,Airborne
Mark Hamill,Sushi Girl
Michael Caine,Kingsman: The Secret Service
Michael Caine,The Last Witch Hunter
Michael Caine,Interstellar
Michael Caine,Stonehearst Asylum
Michael Caine,Interstellar: Nolan's Odyssey
Michael Caine,Cars 2
Michael Caine,Gnomeo & Juliet
Michael Caine,The Dark Knight Rises
Michael Caine,Mr. Morgan's Last Love
Harrison Ford,Star Wars: The Force Awakens
Harrison Ford,The Age of Adaline
Harrison Ford,The Expendables 3
Harrison Ford,Morning Glory
Harrison Ford,Extraordinary Measures
Harrison Ford,Cowboys & Aliens
Harrison Ford,Ender's Game
Harrison Ford,42
Harrison Ford,Paranoia
Steven Berkoff,The Tourist
Maggie Smith,The Lady in the Van
Maggie Smith,The Second Best Exotic Marigold Hotel
Maggie Smith,My Old Lady
Maggie Smith,Nanny McPhee and the Big Bang
Maggie Smith,Harry Potter and the Deathly Hallows: Part 2
Maggie Smith,The Best Exotic Marigold Hotel
Maggie Smith,Gnomeo & Juliet
Maggie Smith,Quartet
Danny DeVito,Girl Walks Into a Bar
Danny DeVito,The Lorax
Angela Lansbury,Mr. Popper's Penguins
Barbra Streisand,Little Fockers
Barbra Streisand,The Guilt Trip
Barbara Hershey,Black Swan
Barbara Hershey,Insidious
Barbara Hershey,Insidious: Chapter 2
Anthony Hopkins,Solace
Anthony Hopkins,Kidnapping Mr. Heineken
Anthony Hopkins,Noah
Anthony Hopkins,The Wolfman
Anthony Hopkins,Thor
Anthony Hopkins,The Rite
Anthony Hopkins,Hitchcock
Anthony Hopkins,360
Anthony Hopkins,Thor: The Dark World
Anthony Hopkins,RED 2
Jeff Bridges,The Little Prince
Jeff Bridges,Seventh Son
Jeff Bridges,The Giver
Jeff Bridges,TRON: Legacy
Jeff Bridges,True Grit
Jeff Bridges,TRON: The Next Day
Jeff Bridges,R.I.P.D.
Tommy Lee Jones,The Homesman
Tommy Lee Jones,The Company Men
Tommy Lee Jones,Captain America: The First Avenger
Tommy Lee Jones,The Sunset Limited
Tommy Lee Jones,Men in Black 3
Tommy Lee Jones,Hope Springs
Tommy Lee Jones,Emperor
Tommy Lee Jones,The Family
Robert Redford,Truth
Robert Redford,A Walk in the Woods
Robert Redford,Captain America: The Winter Soldier
Robert Redford,The Company You Keep
Robert Redford,All Is Lost
Dustin Hoffman,The Program
Dustin Hoffman,Boychoir
Dustin Hoffman,The Cobbler
Dustin Hoffman,Roald Dahl's Esio Trot
Dustin Hoffman,Little Fockers
Dustin Hoffman,Kung Fu Panda Holiday
Dustin Hoffman,Barney's Version
Dustin Hoffman,Kung Fu Panda 2
Martin Sheen,Ooops! Noah is Gone...
Martin Sheen,Ask Me Anything
Martin Sheen,The Way
Martin Sheen,The Double
Martin Sheen,The Amazing Spider-Man
Martin Sheen,Salinger
Arnold Schwarzenegger,Terminator Genisys
Arnold Schwarzenegger,Maggie
Arnold Schwarzenegger,The Expendables 3
Arnold Schwarzenegger,Sabotage
Arnold Schwarzenegger,The Expendables 2
Arnold Schwarzenegger,Escape Plan
Arnold Schwarzenegger,The Last Stand
Arnold Schwarzenegger,Generation Iron
Sally Field,"Hello, My Name Is Doris"
Sally Field,Lincoln
